ProcessID,Arrival_Time,Burst_Time,Priority,Start_Time,Completion_Time,Turnaround_Time,Waiting_Time
P1155,1679,23,1,2487,2510,831,808
P1159,1683,4,1,2510,2514,831,827
P1193,1744,25,1,2514,2539,795,770
P1196,1746,30,1,2539,2569,823,793
P1201,1751,48,1,2569,2617,866,818
P1210,1766,37,1,2617,2654,888,851
P1217,1776,49,1,2654,2703,927,878
P1229,1791,44,1,2703,2747,956,912
P1232,1794,49,1,2747,2796,1002,953
P1234,1797,31,1,2796,2827,1030,999
P1239,1807,38,1,2827,2865,1058,1020
P1246,1820,24,1,2865,2889,1069,1045
P1263,1844,22,1,2889,2911,1067,1045
P1271,1856,19,1,2911,2930,1074,1055
P1274,1859,33,1,2930,2963,1104,1071
P1275,1861,21,1,2963,2984,1123,1102
P1294,1891,21,1,2984,3005,1114,1093
P1297,1894,10,1,3005,3015,1121,1111
P1300,1897,31,1,3015,3046,1149,1118
P1307,1910,44,1,3046,3090,1180,1136
P1315,1919,35,1,3090,3125,1206,1171
P1326,1939,49,1,3125,3174,1235,1186
P1336,1949,3,1,3174,3177,1228,1225
P1353,1971,43,1,3177,3220,1249,1206
P1363,1982,39,1,3220,3259,1277,1238
P1406,2049,22,1,3259,3281,1232,1210
P1414,2060,46,1,3281,3327,1267,1221
P1431,2087,48,1,3327,3375,1288,1240
P1432,2089,24,1,3375,3399,1310,1286
P1433,2092,38,1,3399,3437,1345,1307
P1439,2103,28,1,3437,3465,1362,1334
P1442,2104,16,1,3465,3481,1377,1361
P1450,2118,8,1,3481,3489,1371,1363
P1451,2120,8,1,3489,3497,1377,1369
P1465,2139,36,1,3497,3533,1394,1358
P1466,2142,12,1,3533,3545,1403,1391
P1470,2148,45,1,3545,3590,1442,1397
P1487,2171,31,1,3590,3621,1450,1419
P1488,2172,13,1,3621,3634,1462,1449
P1489,2173,4,1,3634,3638,1465,1461
P1492,2179,7,1,3638,3645,1466,1459
P1503,2200,37,1,3645,3682,1482,1445
P1512,2208,25,1,3682,3707,1499,1474
P1516,2215,4,1,3707,3711,1496,1492
P1518,2219,4,1,3711,3715,1496,1492
P1533,2236,15,1,3715,3730,1494,1479
P1565,2289,17,1,3730,3747,1458,1441
P1602,2350,15,1,3747,3762,1412,1397
P1625,2386,12,1,3762,3774,1388,1376
P1635,2401,7,1,3774,3781,1380,1373
P1643,2410,21,1,3781,3802,1392,1371
P1646,2419,35,1,3802,3837,1418,1383
P1652,2426,14,1,3837,3851,1425,1411
P1671,2450,42,1,3851,3893,1443,1401
P1673,2452,41,1,3893,3934,1482,1441
P1695,2482,26,1,3934,3960,1478,1452
P1705,2494,25,1,3960,3985,1491,1466
P1706,2495,4,1,3985,3989,1494,1490
P1708,2500,31,1,3989,4020,1520,1489
P1732,2530,47,1,4020,4067,1537,1490
P1740,2544,21,1,4067,4088,1544,1523
P1750,2558,18,1,4088,4106,1548,1530
P1757,2566,24,1,4106,4130,1564,1540
P1758,2569,20,1,4130,4150,1581,1561
P1761,2575,26,1,4150,4176,1601,1575
P1762,2577,25,1,4176,4201,1624,1599
P1773,2592,41,1,4201,4242,1650,1609
P1793,2626,41,1,4242,4283,1657,1616
P1798,2631,1,1,4283,4284,1653,1652
P1813,2652,28,1,4284,4312,1660,1632
P1816,2653,5,1,4312,4317,1664,1659
P1817,2653,35,1,4317,4352,1699,1664
P1828,2674,2,1,4352,4354,1680,1678
P1836,2689,49,1,4354,4403,1714,1665
P1837,2690,23,1,4403,4426,1736,1713
P1838,2690,16,1,4426,4442,1752,1736
P1847,2704,20,1,4442,4462,1758,1738
P1851,2711,12,1,4462,4474,1763,1751
P1859,2726,20,1,4474,4494,1768,1748
P1863,2729,50,1,4494,4544,1815,1765
P1868,2736,49,1,4544,4593,1857,1808
P1893,2772,9,1,4593,4602,1830,1821
P1896,2778,21,1,4602,4623,1845,1824
P1902,2785,49,1,4623,4672,1887,1838
P1918,2813,1,1,4672,4673,1860,1859
P1919,2815,31,1,4673,4704,1889,1858
P1925,2822,20,1,4704,4724,1902,1882
P1949,2848,15,1,4724,4739,1891,1876
P1956,2860,3,1,4739,4742,1882,1879
P1963,2871,1,1,4742,4743,1872,1871
P1969,2877,7,1,4743,4750,1873,1866
P1986,2904,43,1,4750,4793,1889,1846
P2008,2932,9,1,4793,4802,1870,1861
P2012,2940,19,1,4802,4821,1881,1862
P2022,2956,35,1,4821,4856,1900,1865
P2024,2960,7,1,4856,4863,1903,1896
P2049,2995,19,1,4863,4882,1887,1868
P2059,3009,19,1,4882,4901,1892,1873
P2066,3022,27,1,4901,4928,1906,1879
P2075,3037,30,1,4928,4958,1921,1891
P2089,3061,19,1,4958,4977,1916,1897
P2094,3068,48,1,4977,5025,1957,1909
P2118,3100,35,1,5025,5060,1960,1925
P2120,3106,37,1,5060,5097,1991,1954
P2143,3135,4,1,5097,5101,1966,1962
P2149,3135,13,1,5101,5114,1979,1966
P2180,3183,49,1,5114,5163,1980,1931
P2186,3192,14,1,5163,5177,1985,1971
P2190,3199,17,1,5177,5194,1995,1978
P2193,3203,26,1,5194,5220,2017,1991
P2201,3213,34,1,5220,5254,2041,2007
P2211,3225,5,1,5254,5259,2034,2029
P2219,3235,5,1,5259,5264,2029,2024
P2227,3239,1,1,5264,5265,2026,2025
P2240,3260,42,1,5265,5307,2047,2005
P2243,3267,43,1,5307,5350,2083,2040
P2245,3272,29,1,5350,5379,2107,2078
P2263,3301,17,1,5379,5396,2095,2078
P2290,3344,2,1,5396,5398,2054,2052
P2297,3354,41,1,5398,5439,2085,2044
P2298,3354,2,1,5439,5441,2087,2085
P2301,3361,31,1,5441,5472,2111,2080
P2313,3383,27,1,5472,5499,2116,2089
P2322,3396,34,1,5499,5533,2137,2103
P2330,3409,37,1,5533,5570,2161,2124
P2333,3414,28,1,5570,5598,2184,2156
P2338,3420,6,1,5598,5604,2184,2178
P2342,3424,48,1,5604,5652,2228,2180
P2355,3450,6,1,5652,5658,2208,2202
P2357,3454,10,1,5658,5668,2214,2204
P2358,3455,31,1,5668,5699,2244,2213
P2360,3459,48,1,5699,5747,2288,2240
P2369,3476,45,1,5747,5792,2316,2271
P2376,3492,30,1,5792,5822,2330,2300
P2385,3507,14,1,5822,5836,2329,2315
P2393,3520,14,1,5836,5850,2330,2316
P2396,3523,29,1,5850,5879,2356,2327
P2398,3527,19,1,5879,5898,2371,2352
P2405,3537,34,1,5898,5932,2395,2361
P2418,3550,42,1,5932,5974,2424,2382
P2447,3591,43,1,5974,6017,2426,2383
P2450,3593,23,1,6017,6040,2447,2424
P2454,3598,27,1,6040,6067,2469,2442
P2464,3608,11,1,6067,6078,2470,2459
P2477,3630,48,1,6078,6126,2496,2448
P2478,3632,10,1,6126,6136,2504,2494
P2485,3642,25,1,6136,6161,2519,2494
P2486,3644,41,1,6161,6202,2558,2517
P2503,3668,40,1,6202,6242,2574,2534
P2519,3687,49,1,6242,6291,2604,2555
P2520,3690,3,1,6291,6294,2604,2601
P2535,3713,17,1,6294,6311,2598,2581
P2554,3750,14,1,6311,6325,2575,2561
P2556,3754,29,1,6325,6354,2600,2571
P2569,3775,16,1,6354,6370,2595,2579
P2575,3785,3,1,6370,6373,2588,2585
P2577,3786,26,1,6373,6399,2613,2587
P2595,3810,9,1,6399,6408,2598,2589
P2603,3826,20,1,6408,6428,2602,2582
P2604,3829,39,1,6428,6467,2638,2599
P2610,3837,36,1,6467,6503,2666,2630
P2616,3848,14,1,6503,6517,2669,2655
P2637,3870,21,1,6517,6538,2668,2647
P2648,3888,17,1,6538,6555,2667,2650
P2652,3896,2,1,6555,6557,2661,2659
P2670,3917,17,1,6557,6574,2657,2640
P2672,3920,45,1,6574,6619,2699,2654
P2681,3935,24,1,6619,6643,2708,2684
P2700,3966,12,1,6643,6655,2689,2677
P2715,3991,10,1,6655,6665,2674,2664
P2723,4007,23,1,6665,6688,2681,2658
P2725,4010,16,1,6688,6704,2694,2678
P2726,4012,12,1,6704,6716,2704,2692
P2731,4017,5,1,6716,6721,2704,2699
P2740,4033,34,1,6721,6755,2722,2688
P2749,4043,21,1,6755,6776,2733,2712
P2777,4078,24,1,6776,6800,2722,2698
P2787,4094,2,1,6800,6802,2708,2706
P2794,4103,47,1,6802,6849,2746,2699
P2796,4107,15,1,6849,6864,2757,2742
P2814,4133,23,1,6864,6887,2754,2731
P2815,4135,16,1,6887,6903,2768,2752
P2829,4156,50,1,6903,6953,2797,2747
P2830,4158,15,1,6953,6968,2810,2795
P2870,4210,20,1,6968,6988,2778,2758
P2877,4222,21,1,6988,7009,2787,2766
P2878,4222,14,1,7009,7023,2801,2787
P2887,4237,28,1,7023,7051,2814,2786
P2892,4248,17,1,7051,7068,2820,2803
P2898,4259,16,1,7068,7084,2825,2809
P2921,4300,23,1,7084,7107,2807,2784
P2930,4319,4,1,7107,7111,2792,2788
P2945,4341,17,1,7111,7128,2787,2770
P2977,4386,36,1,7128,7164,2778,2742
P2978,4386,10,1,7164,7174,2788,2778
P2987,4399,8,1,7174,7182,2783,2775
P2989,4401,8,1,7182,7190,2789,2781
P2994,4409,30,1,7190,7220,2811,2781
P3004,4422,30,1,7220,7250,2828,2798
P3016,4444,44,1,7250,7294,2850,2806
P3032,4466,12,1,7294,7306,2840,2828
P3055,4498,3,1,7306,7309,2811,2808
P3070,4515,24,1,7309,7333,2818,2794
P3086,4538,42,1,7333,7375,2837,2795
P3096,4552,31,1,7375,7406,2854,2823
P3126,4587,35,1,7406,7441,2854,2819
P3136,4602,43,1,7441,7484,2882,2839
P3153,4621,17,1,7484,7501,2880,2863
P3157,4630,25,1,7501,7526,2896,2871
P3159,4631,28,1,7526,7554,2923,2895
P3160,4631,9,1,7554,7563,2932,2923
P3178,4663,46,1,7563,7609,2946,2900
P3183,4671,25,1,7609,7634,2963,2938
P3196,4688,11,1,7634,7645,2957,2946
P3206,4700,7,1,7645,7652,2952,2945
P3217,4716,41,1,7652,7693,2977,2936
P3224,4726,18,1,7693,7711,2985,2967
P3236,4741,43,1,7711,7754,3013,2970
P3257,4770,37,1,7754,7791,3021,2984
P3258,4772,27,1,7791,7818,3046,3019
P3263,4782,11,1,7818,7829,3047,3036
P3268,4785,2,1,7829,7831,3046,3044
P3269,4788,16,1,7831,7847,3059,3043
P3296,4832,10,1,7847,7857,3025,3015
P3299,4838,20,1,7857,7877,3039,3019
P3313,4862,34,1,7877,7911,3049,3015
P3323,4877,21,1,7911,7932,3055,3034
P3333,4883,43,1,7932,7975,3092,3049
P3350,4904,50,1,7975,8025,3121,3071
P3362,4917,17,1,8025,8042,3125,3108
P3367,4928,31,1,8042,8073,3145,3114
P3369,4930,37,1,8073,8110,3180,3143
P3382,4949,17,1,8110,8127,3178,3161
P3398,4974,8,1,8127,8135,3161,3153
P3413,4998,33,1,8135,8168,3170,3137
P3415,5002,21,1,8168,8189,3187,3166
P3416,5002,32,1,8189,8221,3219,3187
P3417,5003,25,1,8221,8246,3243,3218
P3418,5005,49,1,8246,8295,3290,3241
P3419,5008,3,1,8295,8298,3290,3287
P3440,5048,27,1,8298,8325,3277,3250
P3449,5060,47,1,8325,8372,3312,3265
P3456,5071,45,1,8372,8417,3346,3301
P3484,5121,45,1,8417,8462,3341,3296
P3490,5130,24,1,8462,8486,3356,3332
P3498,5142,13,1,8486,8499,3357,3344
P3501,5147,33,1,8499,8532,3385,3352
P3503,5153,38,1,8532,8570,3417,3379
P3520,5174,12,1,8570,8582,3408,3396
P3527,5186,30,1,8582,8612,3426,3396
P3605,5299,18,1,8612,8630,3331,3313
P3606,5299,42,1,8630,8672,3373,3331
P3609,5301,11,1,8672,8683,3382,3371
P3610,5301,47,1,8683,8730,3429,3382
P3628,5336,18,1,8730,8748,3412,3394
P3631,5339,25,1,8748,8773,3434,3409
P3651,5363,40,1,8773,8813,3450,3410
P3697,5419,28,1,8813,8841,3422,3394
P3726,5451,27,1,8841,8868,3417,3390
P3744,5479,12,1,8868,8880,3401,3389
P3745,5480,24,1,8880,8904,3424,3400
P3747,5482,30,1,8904,8934,3452,3422
P3751,5487,25,1,8934,8959,3472,3447
P3752,5488,17,1,8959,8976,3488,3471
P3753,5488,43,1,8976,9019,3531,3488
P3756,5492,7,1,9019,9026,3534,3527
P3758,5494,40,1,9026,9066,3572,3532
P3772,5515,39,1,9066,9105,3590,3551
P3788,5536,42,1,9105,9147,3611,3569
P3789,5537,33,1,9147,9180,3643,3610
P3791,5542,48,1,9180,9228,3686,3638
P3799,5554,10,1,9228,9238,3684,3674
P3804,5561,44,1,9238,9282,3721,3677
P3809,5569,26,1,9282,9308,3739,3713
P3811,5574,15,1,9308,9323,3749,3734
P3818,5586,33,1,9323,9356,3770,3737
P3821,5589,20,1,9356,9376,3787,3767
P3822,5590,23,1,9376,9399,3809,3786
P3841,5610,39,1,9399,9438,3828,3789
P3853,5633,35,1,9438,9473,3840,3805
P3864,5654,30,1,9473,9503,3849,3819
P3868,5657,14,1,9503,9517,3860,3846
P3885,5673,37,1,9517,9554,3881,3844
P3890,5675,40,1,9554,9594,3919,3879
P3904,5700,6,1,9594,9600,3900,3894
P3908,5708,41,1,9600,9641,3933,3892
P3914,5717,6,1,9641,9647,3930,3924
P3934,5749,26,1,9647,9673,3924,3898
P3948,5771,7,1,9673,9680,3909,3902
P3955,5778,12,1,9680,9692,3914,3902
P3972,5809,19,1,9692,9711,3902,3883
P3974,5810,49,1,9711,9760,3950,3901
P3977,5813,45,1,9760,9805,3992,3947
P3983,5823,26,1,9805,9831,4008,3982
P4024,5879,10,1,9831,9841,3962,3952
P4034,5891,39,1,9841,9880,3989,3950
P4036,5895,42,1,9880,9922,4027,3985
P4060,5933,20,1,9922,9942,4009,3989
P4066,5942,22,1,9942,9964,4022,4000
P4078,5960,39,1,9964,10003,4043,4004
P4084,5972,29,1,10003,10032,4060,4031
P4086,5974,31,1,10032,10063,4089,4058
P4116,6015,25,1,10063,10088,4073,4048
P4143,6051,37,1,10088,10125,4074,4037
P4148,6058,33,1,10125,10158,4100,4067
P4165,6086,3,1,10158,10161,4075,4072
P4173,6103,47,1,10161,10208,4105,4058
P4180,6116,20,1,10208,10228,4112,4092
P4186,6129,22,1,10228,10250,4121,4099
P4187,6130,48,1,10250,10298,4168,4120
P4191,6137,27,1,10298,10325,4188,4161
P4194,6143,1,1,10325,10326,4183,4182
P4218,6184,42,1,10326,10368,4184,4142
P4226,6197,15,1,10368,10383,4186,4171
P4234,6206,2,1,10383,10385,4179,4177
P4237,6210,35,1,10385,10420,4210,4175
P4250,6235,18,1,10420,10438,4203,4185
P4251,6235,11,1,10438,10449,4214,4203
P4269,6264,44,1,10449,10493,4229,4185
P4283,6278,17,1,10493,10510,4232,4215
P4286,6281,5,1,10510,10515,4234,4229
P4287,6283,50,1,10515,10565,4282,4232
P4317,6326,10,1,10565,10575,4249,4239
P4320,6328,42,1,10575,10617,4289,4247
P4344,6358,27,1,10617,10644,4286,4259
P4347,6366,46,1,10644,10690,4324,4278
P4351,6367,44,1,10690,10734,4367,4323
P4358,6378,44,1,10734,10778,4400,4356
P4394,6433,7,1,10778,10785,4352,4345
P4401,6448,40,1,10785,10825,4377,4337
P4408,6460,10,1,10825,10835,4375,4365
P4409,6463,11,1,10835,10846,4383,4372
P4437,6502,13,1,10846,10859,4357,4344
P4448,6510,19,1,10859,10878,4368,4349
P4452,6515,35,1,10878,10913,4398,4363
P4457,6518,33,1,10913,10946,4428,4395
P4460,6521,12,1,10946,10958,4437,4425
P4463,6526,23,1,10958,10981,4455,4432
P4465,6529,34,1,10981,11015,4486,4452
P4473,6538,15,1,11015,11030,4492,4477
P4476,6543,7,1,11030,11037,4494,4487
P4486,6561,12,1,11037,11049,4488,4476
P4491,6566,1,1,11049,11050,4484,4483
P4503,6580,19,1,11050,11069,4489,4470
P4526,6611,2,1,11069,11071,4460,4458
P4550,6647,5,1,11071,11076,4429,4424
P4558,6660,13,1,11076,11089,4429,4416
P4565,6667,25,1,11089,11114,4447,4422
P4576,6686,36,1,11114,11150,4464,4428
P4577,6686,12,1,11150,11162,4476,4464
P4588,6702,29,1,11162,11191,4489,4460
P4597,6718,13,1,11191,11204,4486,4473
P4598,6720,30,1,11204,11234,4514,4484
P4601,6723,12,1,11234,11246,4523,4511
P4605,6727,46,1,11246,11292,4565,4519
P4615,6742,29,1,11292,11321,4579,4550
P4616,6742,22,1,11321,11343,4601,4579
P4623,6750,37,1,11343,11380,4630,4593
P4637,6761,40,1,11380,11420,4659,4619
P4658,6789,34,1,11420,11454,4665,4631
P4660,6794,43,1,11454,11497,4703,4660
P4662,6797,22,1,11497,11519,4722,4700
P4665,6801,12,1,11519,11531,4730,4718
P4666,6803,36,1,11531,11567,4764,4728
P4667,6804,16,1,11567,11583,4779,4763
P4669,6808,10,1,11583,11593,4785,4775
P4710,6869,29,1,11593,11622,4753,4724
P4736,6915,35,1,11622,11657,4742,4707
P4738,6916,47,1,11657,11704,4788,4741
P4753,6941,3,1,11704,11707,4766,4763
P4754,6944,22,1,11707,11729,4785,4763
P4756,6948,7,1,11729,11736,4788,4781
P4764,6959,10,1,11736,11746,4787,4777
P4776,6976,33,1,11746,11779,4803,4770
P4798,7005,37,1,11779,11816,4811,4774
P4808,7025,2,1,11816,11818,4793,4791
P4812,7030,19,1,11818,11837,4807,4788
P4828,7055,28,1,11837,11865,4810,4782
P4847,7083,23,1,11865,11888,4805,4782
P4866,7116,48,1,11888,11936,4820,4772
P4869,7121,37,1,11936,11973,4852,4815
P4882,7138,1,1,11973,11974,4836,4835
P4884,7141,36,1,11974,12010,4869,4833
P4891,7149,24,1,12010,12034,4885,4861
P4920,7201,7,1,12034,12041,4840,4833
P4930,7217,38,1,12041,12079,4862,4824
P4933,7225,22,1,12079,12101,4876,4854
P4963,7256,32,1,12101,12133,4877,4845
P4970,7267,26,1,12133,12159,4892,4866
P4974,7273,1,1,12159,12160,4887,4886
P4976,7277,8,1,12160,12168,4891,4883
P4982,7280,31,1,12168,12199,4919,4888
P4988,7292,37,1,12199,12236,4944,4907
P5002,7318,14,1,12236,12250,4932,4918
P5008,7327,8,1,12250,12258,4931,4923
P5012,7335,33,1,12258,12291,4956,4923
P5036,7367,40,1,12291,12331,4964,4924
P5068,7413,39,1,12331,12370,4957,4918
P5089,7446,2,1,12370,12372,4926,4924
P5112,7472,10,1,12372,12382,4910,4900
P5121,7487,17,1,12382,12399,4912,4895
P5135,7505,43,1,12399,12442,4937,4894
P5139,7511,47,1,12442,12489,4978,4931
P5165,7542,7,1,12489,12496,4954,4947
P5166,7545,38,1,12496,12534,4989,4951
P5173,7555,22,1,12534,12556,5001,4979
P5175,7559,31,1,12556,12587,5028,4997
P5176,7561,6,1,12587,12593,5032,5026
P5188,7582,39,1,12593,12632,5050,5011
P5189,7583,47,1,12632,12679,5096,5049
P5198,7601,19,1,12679,12698,5097,5078
P5209,7617,30,1,12698,12728,5111,5081
P5215,7628,9,1,12728,12737,5109,5100
P5226,7644,38,1,12737,12775,5131,5093
P5228,7647,26,1,12775,12801,5154,5128
P5229,7650,49,1,12801,12850,5200,5151
P5234,7660,50,1,12850,12900,5240,5190
P5235,7660,4,1,12900,12904,5244,5240
P5247,7683,15,1,12904,12919,5236,5221
P5248,7683,2,1,12919,12921,5238,5236
P5249,7684,17,1,12921,12938,5254,5237
P5251,7689,42,1,12938,12980,5291,5249
P5255,7696,39,1,12980,13019,5323,5284
P5257,7699,47,1,13019,13066,5367,5320
P5261,7705,47,1,13066,13113,5408,5361
P5277,7729,15,1,13113,13128,5399,5384
P5292,7753,42,1,13128,13170,5417,5375
P5298,7765,35,1,13170,13205,5440,5405
P5304,7772,8,1,13205,13213,5441,5433
P5308,7774,18,1,13213,13231,5457,5439
P5312,7780,4,1,13231,13235,5455,5451
P5323,7798,2,1,13235,13237,5439,5437
P5332,7813,25,1,13237,13262,5449,5424
P5333,7815,14,1,13262,13276,5461,5447
P5351,7839,6,1,13276,13282,5443,5437
P5366,7871,11,1,13282,13293,5422,5411
P5375,7885,32,1,13293,13325,5440,5408
P5405,7929,26,1,13325,13351,5422,5396
P5409,7935,33,1,13351,13384,5449,5416
P5420,7953,32,1,13384,13416,5463,5431
P5423,7961,34,1,13416,13450,5489,5455
P5437,7981,7,1,13450,13457,5476,5469
P5454,8010,49,1,13457,13506,5496,5447
P5456,8015,1,1,13506,13507,5492,5491
P5469,8030,29,1,13507,13536,5506,5477
P5477,8041,1,1,13536,13537,5496,5495
P5481,8047,21,1,13537,13558,5511,5490
P5486,8054,43,1,13558,13601,5547,5504
P5491,8066,4,1,13601,13605,5539,5535
P5494,8071,15,1,13605,13620,5549,5534
P5510,8098,24,1,13620,13644,5546,5522
P5534,8135,35,1,13644,13679,5544,5509
P5557,8176,3,1,13679,13682,5506,5503
P5562,8184,41,1,13682,13723,5539,5498
P5563,8187,26,1,13723,13749,5562,5536
P5564,8189,35,1,13749,13784,5595,5560
P5568,8194,2,1,13784,13786,5592,5590
P5570,8198,45,1,13786,13831,5633,5588
P5574,8199,44,1,13831,13875,5676,5632
P5584,8216,34,1,13875,13909,5693,5659
P5597,8233,41,1,13909,13950,5717,5676
P5614,8261,33,1,13950,13983,5722,5689
P5631,8278,13,1,13983,13996,5718,5705
P5636,8289,49,1,13996,14045,5756,5707
P5655,8318,6,1,14045,14051,5733,5727
P5660,8325,38,1,14051,14089,5764,5726
P5662,8327,16,1,14089,14105,5778,5762
P5669,8337,5,1,14105,14110,5773,5768
P5674,8344,20,1,14110,14130,5786,5766
P5677,8350,10,1,14130,14140,5790,5780
P5687,8362,15,1,14140,14155,5793,5778
P5697,8377,48,1,14155,14203,5826,5778
P5700,8380,24,1,14203,14227,5847,5823
P5737,8434,16,1,14227,14243,5809,5793
P5739,8438,24,1,14243,14267,5829,5805
P5743,8445,27,1,14267,14294,5849,5822
P5744,8445,22,1,14294,14316,5871,5849
P5766,8483,3,1,14316,14319,5836,5833
P5789,8513,25,1,14319,14344,5831,5806
P5809,8542,23,1,14344,14367,5825,5802
P5834,8571,39,1,14367,14406,5835,5796
P5842,8585,3,1,14406,14409,5824,5821
P5848,8594,23,1,14409,14432,5838,5815
P5861,8609,10,1,14432,14442,5833,5823
P5864,8612,48,1,14442,14490,5878,5830
P5878,8636,38,1,14490,14528,5892,5854
P5890,8651,42,1,14528,14570,5919,5877
P5903,8676,43,1,14570,14613,5937,5894
P5916,8694,29,1,14613,14642,5948,5919
P5919,8699,39,1,14642,14681,5982,5943
P5921,8705,15,1,14681,14696,5991,5976
P5925,8710,37,1,14696,14733,6023,5986
P5929,8715,6,1,14733,14739,6024,6018
P5954,8755,20,1,14739,14759,6004,5984
P5964,8766,10,1,14759,14769,6003,5993
P5965,8768,49,1,14769,14818,6050,6001
P5973,8783,26,1,14818,14844,6061,6035
P5974,8784,40,1,14844,14884,6100,6060
P5988,8802,13,1,14884,14897,6095,6082
P5991,8808,21,1,14897,14918,6110,6089
P5998,8816,40,1,14918,14958,6142,6102
P6012,8836,8,1,14958,14966,6130,6122
P6015,8838,22,1,14966,14988,6150,6128
P6016,8840,41,1,14988,15029,6189,6148
P6019,8842,39,1,15029,15068,6226,6187
P6021,8843,45,1,15068,15113,6270,6225
P6027,8853,49,1,15113,15162,6309,6260
P6045,8879,4,1,15162,15166,6287,6283
P6067,8917,8,1,15166,15174,6257,6249
P6075,8935,31,1,15174,15205,6270,6239
P6101,8968,8,1,15205,15213,6245,6237
P6102,8969,1,1,15213,15214,6245,6244
P6103,8972,19,1,15214,15233,6261,6242
P6114,8985,22,1,15233,15255,6270,6248
P6122,9001,18,1,15255,15273,6272,6254
P6128,9008,7,1,15273,15280,6272,6265
P6132,9012,15,1,15280,15295,6283,6268
P6155,9040,21,1,15295,15316,6276,6255
P6159,9045,24,1,15316,15340,6295,6271
P6161,9048,32,1,15340,15372,6324,6292
P6179,9079,24,1,15372,15396,6317,6293
P6180,9081,29,1,15396,15425,6344,6315
P6199,9107,36,1,15425,15461,6354,6318
P6203,9112,23,1,15461,15484,6372,6349
P6206,9118,5,1,15484,15489,6371,6366
